English,French,eng_len,fr_len
We recognise that most of the officials within the Commission are extremely hard-working.,Nous admettons que la plupart des fonctionnaires de la Commission sont de grands travailleurs.,12,13
"In this, their second report, the experts tell us that Italy is financed by the Cohesion Fund, that the ERDF and the Social Fund represent two-thirds of the Structural Funds and that the principles of additionality and complementarity in the Structural Funds come to the same thing. They tell us that the farming lobby is forcing us to finance rural development through the EAGGF-Guarantee and that the principle of partnership only applies to the Commission and to the Member States.","Dans leur second rapport, les sages nous apprennent que l'Italie est financée par le Fonds de cohésion, que le FEDER et le Fonds social représentent 2/3 des fonds structurels, que le principe d'additionnalité et de complémentarité des fonds structurels sont équivalents, que le lobby agricole impose le financement du développement rural par le FEOGA-Garantie, que le principe de partenariat ne s'applique qu'à la Commission et aux États membres.",79,67
"This aid for gathering timber is, of course, only the first stage of an aid package, which will take the form of aid for reforestation and aid for the development of rural areas.","Cette aide à la mobilisation des bois ne constitue, bien sûr, que la première étape d'un soutien prenant la forme d'une aide à la reconstitution des forêts et d'une aide à l'aménagement de l'espace rural.",32,34
I think the lines that you have set up regarding the Food Safety Authority are a recognition of reality.,Je crois que les lignes que vous avez établies en ce qui concerne l'autorité de sécurité alimentaire constituent une reconnaissance de la réalité.,18,22
"Instead, my question concerns the interpretation in principle of Article 255 of the Treaty of Amsterdam.",Ma question portait sur l' interprétation de principe de l' article 255 du traité d' Amsterdam.,15,15
The guarantees which companies must be given are currently under discussion.,Les garanties qui doivent être données aux entreprises font actuellement l'objet de discussions.,10,12
The considered view of this Parliament in the consultation period over the next four to five weeks will for obvious reasons be of great significance.,Le point de vue du Parlement lors de la période de consultation des quatre à cinq semaines à venir sera d'une grande importance pour des raisons évidentes.,24,26
"Today, scientific studies show that the anchovy population in the Bay of Biscay is in danger of extinction, and now there will be measures to restrict the amount of anchovy which can be fished in that Bay.","Aujourd'hui, les études scientifiques démontrent que la population des anchois dans le Golfe de Gascogne est menacée d'extinction. Et c'est aujourd'hui qu'arrivent les mesures de restriction de la quantité d'anchois qui peut être pêchée dans le Golfe de Gascogne.",36,38
"And I would also say this to you, Commissioner: please, deliver the beef even if it is British.","Et je m'adresse aussi à vous, Monsieur le Commissaire : Please, deliver the beef even if it is British.",17,18
"My first point is that Parliament must not be excluded from the important decisions to be taken in this area and that its participation in the decision-making process must be guaranteed, especially with regard to this project which affects the citizens, as the Commissioner has explained very well.","Ma première réflexion est que le Parlement ne doit pas rester en marge des décisions importantes qui vont être prises dans ce domaine et qu'il convient de garantir sa participation au processus de prise de décision, tout particulièrement s'agissant d'un projet des citoyens, comme l'a bien dit M. le commissaire.",47,49
"It has already been mentioned that the Treaty of Amsterdam came into force in May and this Parliament stated that the most far-reaching innovation in this Treaty was its recognition of the need to establish an area of freedom, security and justice.","On a déjà dit ici que le traité d'Amsterdam est entré en vigueur en mai et ce même Parlement a affirmé que l'innovation la plus profonde de ce traité a été la reconnaissance de la nécessité de créer un espace de liberté, de sécurité et de justice.",41,46
"In relation to this, you are no doubt also aware how difficult it is nowadays to preserve natural species as well as natural spaces.",Vous savez aussi pertinemment combien il est difficile aujourd'hui de préserver les espèces et combien il est difficile de préserver des espaces.,23,21
We can save it from year to year and ensure that when something major happens we have an instrument to deal with it.,"Nous pouvons le conserver d'une année à l'autre et faire en sorte que, lorsqu'un événement majeur survient, nous disposions d'un instrument pour y faire face.",22,24
This would allow too many anomalous projects to slip through.,De nombreux projets irréguliers pourraient échapper aux mailles des contrôles.,9,9
"I come from a region, Galicia, which has suffered similar accidents in the past.","Je suis originaire de la Galice, une région qui a souffert d'accidents similaires dans le passé.",13,15
"Our objective, the committee' s objective, the Court of Auditors' objective is not to abolish financial control, it is to get rid of and improve upon centralised financial control.","Notre objectif, celui du comité, celui de la Cour des comptes, n'est pas d'abolir le contrôle financier, mais de nous débarrasser du contrôle financier centralisé et de faire mieux.",28,28
(The House rose and observed a minute' s silence),"(Le Parlement, debout, observe une minute de silence)",8,7
"Madam President, I would like to make a few comments.","Madame la Présidente, je voudrais faire quelques remarques.",9,7
"Subject: Proposal for a regulation laying down the total admissible catches for specific fish populations for the year 2000, and the case of anchovies in particular The latest reports from the International Council for the Exploration of the Sea indicate that the current level of anchovy stocks in ICES zone VIII is critical.","Objet: Proposition de règlement fixant les totaux admissibles de capture pour certaines populations de poissons en l'an 2000 (cas concret de l'anchois) D'après les derniers rapports du Conseil international pour l'exploration de la mer, le stock d'anchois dans la division VIII CIEM se trouve actuellement dans un état critique.",52,48
The vote will be taken at noon on Thursday.,Le vote aura lieu jeudi à 12 heures.,8,7
"During the few months that I have been a Commissioner that has happened twice, first of all in New York at our meeting with Minister Tang and most recently at the meeting in Peking and we will continue to make that concern manifest.","Depuis les quelques mois que j'exerce ma fonction de commissaire, nous l'avons fait deux fois, tout d'abord à New York, lors de notre réunion avec le ministre Tang et plus récemment au cours du sommet à Pékin et nous continuerons à exprimer ces inquiétudes.",42,43
"Unfortunately, we can expect there to be repeat performances of this kind of major disaster in the future.","À l'avenir, il nous faudra hélas aussi compter avec des catastrophes de cette gravité.",17,13
"The Commissioners taking part are President Prodi, Vice-President Kinnock, Mr Reding and myself.","Les commissaires qui en font partie sont le président Prodi, le vice-président Kinnock, Mme Reding et moi-même.",12,16
"This poses enormous challenges for competition policy, which I hope it will be able to meet because, for certain, many of those mergers are going to be designed to protect profit margins of the businesses from competition rather than merely to enhance productivity and make those businesses able to operate on a bigger scale.","Cela pose des défis énormes pour la politique de la concurrence. J'espère que nous pourrons les relever, parce que, pour certains, ces fusions auront pour but de protéger les marges bénéficiaires des entreprises contre la concurrence plutôt que de simplement augmenter la productivité et permettre à ces entreprises d'opérer à une plus grande échelle.",53,53
"Secondly, I also share the Commissioner' s observations and would like to encourage her to continue down this path.","Deuxièmement, je partage les indications fournies par la Commissaire et voudrait l'encourager à poursuivre dans cette voie.",18,16
"The reason for this is that people are under the impression that once the steel aid code expires, they will be able to do their own thing again without the inconvenience of the European Commission' s supervision.","Cela tient notamment au fait qu'on pense qu'à l'expiration du code, on pourra à nouveau agir à sa guise, débarrassé du contrôle pesant effectué par la Commission européenne.",36,27
"Almost three weeks after the disaster, several thousand people were still without electricity and telephones, 500 000 hectares of forestry land, or 100 million cubic metres of forest, have been ruined, and our historical heritage has also been affected, as the sad example of the park at the Palace of Versailles demonstrates.","Près de trois semaines après le sinistre, plusieurs milliers de personnes étaient encore privées d'électricité et de téléphone, 500 000 hectares de massifs forestiers et 100 millions de mètres cubes dévastés, le patrimoine historique également atteint, comme le montre le triste exemple du parc du château de Versailles.",51,47
"With this in mind, it goes without saying that nuclear plants a priori should not be built in areas prone to earthquakes.","Dans ces conditions, dans des régions à forte sismicité, il est exclu à priori et par avance d'aménager des installations nucléaires.",21,20
I recognise the relevance of the arguments that Mr Souladakis has put forward.,"Monsieur le Président, je reconnais la pertinence des arguments avancés par M. le député.",12,13
"We are concerned by the deferment of the building of relations with Syria, as well as Mr Barak' s decision to postpone the withdrawal of the Israeli army and the Sharm el­-Sheikh agreements.","Nous sommes inquiets du renvoi des rapports avec la Syrie, ainsi que par la décision du premier ministre Barak de reporter le retrait de l'armée israélienne et par les accords de Charm-el Cheikh.",32,32
"In the fifth place, we need there to be a guarantee that these demands will apply to all ships using the ports and waterways of the European Union, and incidentally, that includes the candidate countries.","Cinquièmement, nous devons avoir la garantie que ceci soit exigé de tous les navires croisant dans les ports ou les eaux de l'Union européenne, et aussi des pays candidats à l'adhésion. Cela signifie que les exigences que je viens d'évoquer valent pour toutes les eaux territoriales.",34,45
"Mrs Schroedter, you quite rightly pointed out that while it is chiefly up to the Member States and the regions to define their own priorities in development matters, European Union cofinancing of the programmes requires, and is the justification for, a situation where Community priorities as debated and approved in this House should also be taken into account in order to promote this Community aspect of economic and social cohesion which many of you forcefully pointed out.","Madame le Rapporteur, vous avez rappelé à juste titre que s' il incombe en effet principalement aux États membres et aux régions de définir leurs propres priorités en matière de développement, le cofinancement des programmes par notre Union européenne exige, justifie qu' il soit également tenu compte des priorités communautaires telles qu' elles sont débattues et approuvées ici, afin de promouvoir cette dimension communautaire de la cohésion économique et sociale que beaucoup d' entre vous ont rappelée avec force.",76,78
"At this stage it is more important to concentrate on assessing how we can use this process to steer Union regional policy, bearing in mind that the aim is to reduce regional inequality.","Au stade où nous en sommes, il vaut mieux se consacrer à une réflexion sur la manière d' orienter la politique régionale communautaire, en gardant à l' esprit que l' objectif est la réduction des disparités régionales.",32,36
"However, it seems that none of the Member States meets this figure due to a lack of inspectors.","En réalité, ce pourcentage ne semble être atteint dans aucun des États membres en raison du manque d' inspecteurs.",17,18
I think that we need to consider how we can best present this to the general public.,"Je pense qu'à cet égard, il nous faut aussi penser à la meilleure manière de présenter cela auprès de l'opinion publique.",16,20
"It is important to prioritise general criteria for land planning and demographic equilibrium, and to bear in mind the conclusions of the Committee on Agriculture and Rural Development on the five fundamental issues, which have been only partly taken up by the Committee on Transport, Regional Policy and Tourism in its points 16 and 17.","Il est important de définir des critères généraux d'aménagement du territoire et d'équilibre de la population et de prendre en considération les conclusions auxquelles est parvenue la commission de l'agriculture et du développement rural sur cinq aspects fondamentaux, qui n'ont été que partiellement repris par la commission de la politique régionale, des transports et du tourisme dans les points 16 et 17.",54,61
"Mr President, all I can say about 1999 is this: how wonderful to feel the Portuguese summer after the Finnish winter.","Monsieur le Président, je ne peux dire qu'une chose quant à l'année 1999 : après le froid de la Finlande, le soleil du Portugal est le bienvenu.",20,26
"I am also envisaging that the authority will be much more proactive than our current regime - anticipate rather than react, identify issues before they become crises.","J'envisage également que l'autorité prendra beaucoup plus d'initiatives que le régime actuel - anticiper plutôt que de réagir, identifier les problèmes avant qu'ils ne se transforment en crises.",26,27
While urban renewal in our cities is very important we must always strike a balance in our policies between promoting rural development and improving the lives of city dwellers.,"Si le renouveau de nos villes est très important, nos politiques doivent toujours trouver un équilibre entre la promotion du développement rural et l'amélioration du cadre de vie des citadins.",28,29
"As a Member for the Basque Country, I would like to express my total support for the implementation measures for fair competition in the market.","En tant que député du Pays basque, je désire apporter tout mon soutien aux mesures d'application d'une concurrence du marché en bonne et due forme.",24,24
"The concern involves the pre-accession process for the countries of Central and Eastern Europe, in terms of competition policy and state aid.","La préoccupation concerne le processus de préadhésion des pays d'Europe centrale et orientale, du point de vue de la politique de concurrence et des aides d'État.",21,25
"We are therefore right to demand improved controls, sanctions and preventive measures.","Nous demandons donc, à juste titre, l'amélioration des contrôles, des sanctions et des mesures préventives.",11,14
It has been a relative shock to our political leaders to find we must now take a share of the refugees that have been coming into the European Union for a long time.,"Dans une certaine mesure, cela a été un choc pour nos dirigeants politiques de découvrir que le moment était venu d'accepter une part des réfugiés qui rejoignent l'Union européenne depuis pas mal de temps.",32,33
"Twenty one years after Amoco Cadiz, this umpteenth oil slick, the seventh since 1967, shows the irresponsibility of our successive rulers.","Vingt-et-un an après l'Amoco Cadiz, cette énième marée noire, la septième depuis 1967, prouve l'irresponsabilité de nos gouvernants successifs.",20,18
"On this point which is of personal interest to me, let me remind you that the small scale of this sector - and this does not necessarily mean that it is an insignificant area - and its concentration in a limited number of regions do not make it easy to analyse in a regional context.","Sur ce point qui m'intéresse personnellement, je rappellerai que la petite taille de ce secteur - laquelle ne signifie pas qu'il soit négligeable - et sa concentration dans un très faible nombre de régions ne facilitent pas son analyse dans un cadre régional.",54,42
"These days, someone who lives in an old people' s home is accommodated within the social field.","À l'heure actuelle, une personne résidant dans un home pour personnes âges est classée dans le secteur social.",16,17
"To conclude, I would just like to say something on the principle of subsidiarity. I believe it to be of vital importance that where Member States allow regions and local authorities to raise taxes, they should continue to be able to do so and not be subject to across- the-board regulation by Europe.","Enfin, concernant le principe de subsidiarité, je voudrais dire que j'estime indispensable que les États membres puissent continuer d'autoriser les régions et les communes à percevoir des taxes et que ce domaine ne soit pas uniformément réglé par l'Europe.",52,38
"Hopefully, the stands Parliament has taken will help, however, in the mid-term appraisal of the programmes and in their practical implementation.",Espérons que les prises de position du Parlement européen seront quand même utiles dans l' évaluation à mi-parcours des programmes et dans la mise en uvre pratique.,20,26
We continue to demand a review of the agreement in order to incorporate better parliamentary and judicial control.,Nous continuons d'exiger une révision de la convention afin d'y introduire de meilleures possibilités de contrôle parlementaire et judiciaire.,17,18
"However, I can assure you that we do not, with the existing measures - which you have referred to - reach these severely less-favoured regions.","Je vous assure, néanmoins, que les mesures existantes ­ auxquelles vous faites allusion ­ n'atteignent pas ces zones très défavorisées.",24,19
We already have legislation.,Nous disposons déjà d'une législation.,3,4
That is an area that European citizens will respond to and will be happy about.,Les citoyens européens n'y resteront pas indifférents et ils vont s'en réjouir.,14,11
Whose turn is next?,À qui le tour ?,3,4
"I believe that biodiversity is good, as is cultural diversity, but not diversity in the application of the law with regard to the essential core of the internal market, that is to say, competition law.","Si la biodiversité et la diversité culturelle sont, selon moi, une bonne chose, il n'en va pas de même pour la diversité d'application du droit, de ce qui constitue le noyau essentiel du marché intérieur, à savoir, le droit de la concurrence.",34,41
We need to take this responsibility seriously.,Il nous faut prendre cette responsabilité au sérieux.,6,7
The amendment to the directive is consequently in full accordance with the principle of subsidiarity; the Member States obtain more powers.,"Ce faisant, la modification de la directive s'inscrit pleinement dans l'esprit de subsidiarité ; les États membres bénéficiant de compétences accrues.",20,20
My questions relate to the positive list for animal feed.,Mes questions touchent à la liste positive pour l'alimentation animale.,9,9
"For one thing is clear: even if we come to an excellent arrangement within the European Union, traffic does not stop at our borders, it goes beyond them.","Car une chose est claire : même si nous adoptons une excellente réglementation au sein de l'Union européenne, le trafic ne s'arrête pas à ces frontières ; il les traverse.",27,29
The victims are waiting outside.,Les victimes attendent à l'extérieur.,4,4
"We will also pass this on to our services, however.","Néanmoins, nous en ferons également part à nos services.",9,8
"The President of Parliament has made us aware of the very limited time at our disposal, and my colleague, the Minister for Justice, and I therefore propose to reply objectively to all the questions put here at the parliamentary committee meeting which we shall be attending next week.","Le Président du Parlement nous a fait sentir que nous ne disposions pas de beaucoup de temps, c'est pourquoi nous nous proposons, mon collègue de la justice et moi-même, de répondre objectivement à toutes les questions qui ont été posées ici. Nous le ferons à l'occasion de la réunion de la commission parlementaire à laquelle nous participerons la semaine prochaine.",47,59
"Unfortunately, the European Commission has already moved ahead with its guidelines and Parliament' s position on the programmes for 2000-2006 does not carry much weight.","Malheureusement, la Commission européenne a déjà avancé dans ses orientations et la position du Parlement ne pèse pas lourd dans les programmes de la période 2000-2006.",24,25
I agree with this request.,J' approuve cette demande.,4,3
The draft legislation before the Folketing does not contain any rules governing rights of employed persons under collective agreements.,La proposition de loi présentée au Folketing ne comporte aucune disposition régissant les droits des travailleurs salariés qui découlent de conventions collectives.,18,21
If we admit new Member States then we need to put our own House in order first.,"Si nous accueillons de nouveaux États membres, il n' est pas tolérable que l' ordre ne règne pas dans notre propre institution.",16,21
"The economic and social damage, which we have spoken about today, in terms of the loss of jobs and fishing and tourist resources, is so great that they fully justify decisive and thorough action on the part of the Community institutions.","Les dommages sociaux et économiques, dont on a déjà parlé ici aujourd'hui, en termes tant de perte d'emplois que de ressources marines et touristiques, sont d'une ampleur telle qu'ils justifient amplement une action décidée et marquante de la part des institutions communautaires.",40,41
"There is a Paris Memorandum in existence, let me remind you, which stipulates a minimum for inspection, that is, one in four of the vessels putting into European ports must be inspected by the maritime authorities of the country concerned.","Il existe, il faut le rappeler, un mémorandum de Paris, qui implique un minimum de contrôle, un quart des bateaux relâchant dans les ports européens devant être contrôlés par les autorités maritimes du pays concerné.",39,34
"We have a serious situation in which in the European Union today, there is a genuine link between unemployment and poverty, as demonstrated by the very worrying fact that unemployment has reached, on average, 23.7% in the regions worst affected, regions which also happen to be poor areas, whilst in the 25 regions with the lowest unemployment, corresponding to the richer areas, unemployment stands at just 4%.","La situation est grave, il y a un rapport évident entre le chômage et la pauvreté dans l'Union européenne. Le chômage atteint en moyenne 23,7 % dans les territoires les plus touchés, qui coïncident avec les zones pauvres ; les 25 territoires les moins concernés par le chômage correspondent aux zones riches, leur taux de chômage étant de 4 % seulement.",66,60
"This indeed, is the aim of the sixth Steel Aid Code, but at the same time it is important to avoid any infringement of the conditions of competition and any serious disturbance of the markets, hence the importance of regulating such aid.","Tel est, en effet, l' objet du sixième code des aides à l' industrie sidérurgique, mais, dans le même temps, il importe d' éviter toutes les atteintes aux conditions de concurrence et toute perturbation grave des marchés, d' où l' importance de réglementer ces aides.",41,44
I would like to express my sympathy with all those who are dealing with the consequences of the breaking up and sinking of the oil tanker Erika.,Je voudrais exprimer ma sympathie à toutes les personnes qui travaillent sur les conséquences de la destruction et du naufrage du pétrolier Erika.,26,22
It only remains to put this principle into practice.,Reste à traduire ce principe en actes.,8,6
"At the same time, it also represents a quantum leap in qualitative terms, and a logical and vital step in the development of the Union, in the wake of the establishment of the internal market, the introduction of the single currency and the launching of a common foreign and security policy.","C'est à la fois un saut qualitatif important et un pas logique et indispensable dans le développement de l'Union, après la construction du marché intérieur, l'introduction de la monnaie unique et le lancement d'une politique extérieure et de sécurité commune.",50,39
"By entrepreneurship I do not simply mean the ownership of business, but creating will.","Par ""esprit d'entreprise"", je n' entends pas uniquement la possession d' une entreprise, mais un état d' esprit.",13,17
"The Commissioner, Mrs Schreyer, is not here yet, but I hope, and expect, that she will arrive in the next few minutes.","Mme la commissaire n' est pas encore là, mais je suppose et j'espère qu' elle ne devrait pas tarder à arriver.",21,20
"As you know, like Mr Rack, I come from a transit country, where this issue plays a particularly important role.","Comme M. Rack, je viens d'une région de transit dans laquelle cette question joue un rôle particulier.",19,16
"In that event we would not have moved forward, but rather backwards, in the application of competition policy in the Union.","Dans ce cas, nous n'aurions pas avancé, mais reculé au niveau de l'application de la politique de la concurrence au sein de l'Union.",20,22
I hope that the Minister will take some time to pursue that particular issue.,J'espère que le ministre consacrera un peu de son temps à ce problème.,13,12
It is precisely upon price levels that consumer policy has failed to focus sufficiently.,"Or notre politique de consommation est, justement, bien trop peu axée sur le niveau des prix.",13,15
"Nevertheless, I must make it clear that all these actions will, of course, have to take into account the principles agreed at the Helsinki European Council concerning applicant countries, so that those applicants can cooperate and also be associated as quickly as possible with this project of creating an area of freedom, security and justice.","Je soulignerais entre-temps que toutes ces actions devront bien sûr tenir compte des principes convenus lors du Conseil européen d'Helsinki par rapport aux États candidats de manière à ce que ceux-ci coopèrent et soient associés le plus rapidement possible à ce projet de création d'un espace de Liberté, Sécurité et Justice.",54,50
"Reconstruction and rehabilitation of southern Lebanon, the only Middle Eastern area with an ongoing military conflict, will also demand considerable efforts. We also need to continue our support for economic reform and social development in Lebanon as a whole.","La reconstruction et la réhabilitation du Sud-Liban, la seule région du Moyen-Orient en proie actuellement à un conflit armé, demanderont elles aussi des efforts considérables, sans compter que nous devrons maintenir notre soutien aux réformes économiques et au développement social dans le Liban tout entier.",38,44
"Surely we have learnt this much from the events surrounding the Leonardo affair, when the internal examiners in the relevant Directorate-General issued warnings, but these were neither heeded nor passed on.","C' est ce que nous enseignent les affaires qui ont entouré le cas Leonardo, où les contrôleurs internes avaient averti la direction générale compétente, laquelle n' avait cru bon de devoir donner suite à leur avertissement.",30,35
"I know that if agreement can be reached between Syria and Israel, the Israeli Prime Minister will still face real opposition to any new agreement with Syria in any future referendum.","Je sais que si un accord est trouvé entre la Syrie et Israël, le Premier ministre israélien devra encore compter, à l'occasion de tout prochain référendum, avec une opposition réelle pour tout nouvel accord avec la Syrie.",30,36
"Fishing quota transfers between Portugal and France were reduced proportionally from 5 008 tonnes in 1999 to 3 000 tonnes in 2000, for fishing in French waters.","Les échanges des droits de pêche entre le Portugal et la France ont été proportionnellement réduits de 5 mille et huit tonnes en 1999 à 3 mille tonnes en 2000, qui devront être pêchées dans les eaux françaises.",26,37
"Secondly, partnership, a subject which a number of you stressed, the role of local and regional authorities, the private sector, both sides of industry, associations and local community action groups.","Deuxième point, le partenariat, sur lequel plusieurs d'entre vous ont insisté, le rôle des autorités locales et régionales, du secteur privé, des partenaires sociaux, du secteur associatif et des collectivités locales d'animation.",29,31
The environmental disaster of the sinking of the Erika off Brittany and the spillage of 10 000 tonnes of oil has been widely reported in the British media.,La catastrophe écologique provoquée par le naufrage de l'Erika au large des côtes bretonnes et le déversement de 10 000 tonnes de pétrole ont été largement couverts par les médias britanniques.,27,30
Question No 28 by (H-0781/99):,question no 28 de (H-0781/99) :,4,5
"Please take account, in strategic terms, in the revision and in the allocation of reserves, of employment needs, because this, fundamentally is what the Structural Funds and the Cohesion Funds require.","Dans la révision, dans l'assignation des réserves, prenez en considération, de manière stratégique, le besoin d'emplois car ceci est, en définitive, ce que demandent les fonds structurels et les Fonds de cohésion.",30,31
"However, there is some concern over the lack of progress made despite the good and honest intentions expressed by the European Union.","Malgré tout, une inquiétude se fait jour, car si, du côté de l'Union européenne, les intentions sont bonnes et sincères, les résultats sont fort minces.",21,24
"Provided this report is not watered-down yet again by the adoption of amendments, it will afford us the opportunity to make clear and unambiguous demands of the Commission on a number of crucial points.","Si ce rapport parvient à ne pas être une fois de plus édulcoré par l' adoption de plusieurs amendements, il permettra d' adresser à la Commission des instructions claires et sans détours sur plusieurs points déterminants.",33,35
"In this sense, all high seismic risk areas must be excluded a priori for nuclear installations such as this.","Par conséquent, toutes les régions à risque sismique élevé doivent être exclues, ou sont exclues à priori, pour des installations nucléaires comme celles-ci.",18,22
"To that end, we must also make it our business to take more account of demand-orientated economic policy as opposed to one focusing heavily on supply.","De plus, nous devons sans hésitation envisager davantage une politique économique orientée sur la demande plutôt que sur la seule offre.",25,20
